Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_Precipitation,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end,rolling_meanTavg,rolling_std_Tavg,rolling_meanRH,rolling_std_RH,rolling_meanPrecipitation,rolling_std_Precipitation,rolling_meanSAvg,rolling_std_SAvg,rolling_meandewpoint,rolling_std_dewpoint,rolling_meanq,rolling_std_q,rolling_meanqsat,rolling_std_qsat,rolling_meanlcl,rolling_std_lcl,rolling_meanTmin,rolling_std_Tmin,rolling_meanTmax,rolling_std_Tmax,rolling_meantendt,rolling_std_tendt,rolling_meantendq,rolling_std_tendq,rolling_meanbowen,rolling_std_bowen,rolling_meanR2,rolling_std_R2,rolling_meanR1,rolling_std_R1
1,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2016-03-19 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.46249999999999997,,,,,,,,,,,,,,,0.6422886595777806,,,,,,,,,,,,,2016-03-19 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.012499999999999999,,,,,,,,,,,,,,,0.017677669529663688,,,,,,,,,,,,,2016-03-19 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.03333333333333333,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2016-03-19 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.004166666666666667,,,,,,,,,,,,,,,0.005892556509887896,,,,,,,,,,,,,2016-03-19 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2016-03-19 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2016-03-19 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2016-03-19 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2016-03-19 00:00:00,2019-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2016-03-19 00:00:00,2019-01-01 00:00:00,,,,,0.05125,0.14488514501809208,,,,,,,,,,,,,,,,,,,,,,,,
